Date,KBP1120M,KBP1078M,KBP1514M,KBP1081M,KBP1080M,KBP1090M
20160900,372047.0,173146.0,16698.0,189848.0,13641.0,4845655.0
20161000,384544.0,174151.0,15580.0,148518.0,13286.0,4874470.0
20161100,388173.0,181682.0,13319.0,165971.0,12027.0,4871911.0
20161200,374185.0,176806.0,16312.0,178790.0,8523.0,4870414.0
20170100,363602.0,173591.0,11593.0,179596.0,8447.0,4883458.0
20170200,358102.0,174233.0,13600.0,180897.0,7549.0,4903313.0
20170300,369795.0,176778.0,11275.0,181564.0,7275.0,4934297.0
20170400,346870.0,170907.0,8825.0,150698.0,15645.0,4910900.0
20170500,363411.0,171906.0,14309.0,144230.0,9082.0,4926947.0
20170600,361197.0,171140.0,16258.0,140179.0,10344.0,4940429.0
20170700,377915.0,170426.0,9997.0,149679.0,9628.0,5008710.0
20170800,366458.0,168069.0,11139.0,148302.0,14722.0,5004424.0
20170900,394698.0,178346.0,9941.0,156861.0,15067.0,5111516.0
20171000,396319.0,187466.0,21815.0,150349.0,9910.0,5117354.0
20171100,371509.0,188760.0,20583.0,145424.0,8346.0,5101424.0
20171200,340511.0,171378.0,15401.0,120234.0,5639.0,5152476.0
20180100,309450.0,174945.0,13981.0,118284.0,2744.0,5134614.0
20180200,314916.0,166187.0,15939.0,109644.0,2640.0,5190230.0
20180300,327750.0,162727.0,12038.0,100581.0,8103.0,5196186.0
20180400,315498.0,164099.0,15265.0,108592.0,9755.0,5197015.0
20180500,309269.0,183243.0,13290.0,107133.0,9239.0,5159497.0
20180600,343190.0,207162.0,16182.0,108576.0,5627.0,5289362.0
20180700,347480.0,213685.0,17018.0,108614.0,10264.0,5237625.0
20180800,391687.0,210936.0,14856.0,114043.0,7217.0,5410561.0
20180900,366627.0,205107.0,15860.0,107717.0,13582.0,5409904.0
20181000,371436.0,198524.0,35739.0,133857.0,10523.0,5466101.0
20181100,357633.0,208224.0,37010.0,132600.0,9021.0,5463831.0
20181200,389412.0,214518.0,42059.0,164115.0,7234.0,5515751.0
20190100,334732.0,204576.0,52754.0,137249.0,3760.0,5514657.0
20190200,351885.0,212026.0,51114.0,148328.0,4522.0,5533788.0
20190300,386896.0,211580.0,40071.0,156035.0,4003.0,5648725.0
20190400,380444.0,217938.0,44083.0,154572.0,5780.0,5680642.0
20190500,368584.0,214598.0,34814.0,141994.0,5832.0,5731187.0
20190600,366838.0,210866.0,35201.0,144770.0,8168.0,5792691.0
20190700,366467.0,227608.0,30593.0,150512.0,7969.0,5797730.0
20190800,370319.0,235051.0,30499.0,134406.0,9617.0,5892249.0
20190900,366013.0,266713.0,26908.0,123593.0,9525.0,5894980.0
20191000,371507.0,257208.0,25274.0,122872.0,7883.0,5913044.0
20191100,364849.0,246662.0,19319.0,120296.0,7971.0,5883561.0
20191200,356596.0,248940.0,26356.0,124847.0,5525.0,5882469.0
20200100,380023.0,261287.0,39885.0,141170.0,7114.0,5916356.0
20200200,402538.0,266089.0,30148.0,139320.0,10114.0,6070618.0
20200300,517518.0,312780.0,30256.0,177908.0,14851.0,6578128.0
20200400,519610.0,300716.0,34250.0,177751.0,15393.0,6613978.0
20200500,455723.0,289834.0,31282.0,151017.0,7964.0,6537062.0
20200600,451339.0,290247.0,27273.0,141328.0,6684.0,6530513.0
20200700,430411.0,295017.0,23932.0,140482.0,11256.0,6529111.0
20200800,443736.0,296890.0,21556.0,136402.0,5599.0,6531473.0
20200900,424514.0,273246.0,28511.0,129132.0,6394.0,6499927.0
20201000,422020.0,263633.0,27356.0,126625.0,3673.0,6529390.0
20201100,410687.0,254157.0,25488.0,112775.0,2629.0,6539343.0
20201200,397638.0,244421.0,24690.0,124711.0,4331.0,6566095.0
20210100,388363.0,252384.0,24281.0,105439.0,2046.0,6534525.0
20210200,385453.0,254628.0,20906.0,115059.0,2546.0,6520468.0
20210300,367585.0,255145.0,15508.0,112285.0,1693.0,6453523.0
20210400,355607.0,259744.0,19506.0,103878.0,1454.0,6425870.0
20210500,340191.0,260737.0,18038.0,88228.0,3463.0,6487379.0
20210600,369421.0,257243.0,23688.0,110500.0,7928.0,6483428.0
20210700,361539.0,249014.0,27838.0,103668.0,10831.0,6518368.0
20210800,358999.0,243076.0,26790.0,92930.0,4875.0,6585838.0
20210900,374268.0,262433.0,29607.0,113913.0,3997.0,6605679.0
20211000,351632.0,260099.0,35255.0,111861.0,2341.0,6593024.0
20211100,377717.0,270218.0,26520.0,108767.0,3016.0,6778981.0
20211200,370770.0,273682.0,24768.0,113820.0,5995.0,6716215.0
20220100,355347.0,277631.0,27000.0,101458.0,7879.0,6622697.0
20220200,375180.0,282175.0,30921.0,107894.0,6874.0,6700810.0
20220300,363701.0,274617.0,31351.0,107147.0,8201.0,6821604.0
20220400,382801.0,283975.0,30672.0,113881.0,8042.0,6845765.0
20220500,399012.0,280131.0,63504.0,121985.0,10289.0,6903886.0
20220600,412251.0,305151.0,73882.0,116235.0,7958.0,7059490.0
